code,italian,english
IT-65,Abruzzo,Abruzzo
IT-77,Basilicata,Basilicata
IT-78,Calabria,Calabria
IT-72,Campania,Campania
IT-45,Emilia-Romagna,Emilia-Romagna
IT-36,Friuli-Venezia Giulia,Friuli-Venezia Giulia
IT-62,Lazio,Lazio
IT-42,Liguria,Liguria
IT-25,Lombardia,Lombardy
IT-57,Marche,Marche
IT-67,Molise,Molise
IT-21,Piemonte,Piedmont
IT-75,Puglia,Apulia
IT-88,Sardegna,Sardinia
IT-82,Sicilia,Sicily
IT-52,Toscana,Tuscany
IT-32,Trentino-Alto Adige,Trentino-South Tyrol
IT-55,Umbria,Umbria
IT-23,Valle d'Aosta,Aosta Valley
IT-34,Veneto,Veneto
